TIME_UTC,TIME_OBT,AOCS_ANGULAR_RATE_X,AOCS_ANGULAR_RATE_Y,AOCS_ANGULAR_RATE_Z
2024-10-22T10:18:27.373Z,1/0794312305:01747,-1.435115315877478e-06,+3.693991693955826e-06,-1.468497428297757e-06
2024-10-22T10:18:37.373Z,1/0794312315:01746,+3.818739128049330e-06,-1.550518153431876e-06,+2.018863664462296e-06
2024-10-22T10:18:47.373Z,1/0794312325:01751,+3.815336273544048e-06,+1.937812454680435e-06,-4.972499208742710e-06
2024-10-22T10:18:57.373Z,1/0794312335:01744,+3.166074149404203e-07,-1.419213856739131e-06,-1.338811289789638e-06
2024-10-22T10:19:07.373Z,1/0794312345:01744,-2.916126012829434e-06,+1.810968606310572e-06,-1.333620316272519e-06
2024-10-22T10:19:17.373Z,1/0794312355:01744,-2.914996022431115e-06,+1.989143725922088e-07,+2.792512298337027e-07
2024-10-22T10:19:27.373Z,1/0794312365:01746,+1.931600673283339e-06,+1.946902784963855e-07,-1.340383599926756e-06
2024-10-22T10:19:37.373Z,1/0794312375:01746,+1.931705516459095e-06,+1.946538005192073e-07,-1.341306769814650e-06
2024-10-22T10:19:47.373Z,1/0794312385:01745,+3.162302549843322e-07,-1.419004456905926e-06,-1.338877464526551e-06
2024-10-22T10:19:57.373Z,1/0794312395:01751,-1.301135219973869e-06,+1.813023544920063e-06,+2.774995085945007e-07
2024-10-22T10:20:07.373Z,1/0794312405:01745,-1.297928168689733e-06,-1.412066102465317e-06,+3.503676357199156e-06
2024-10-22T10:20:17.373Z,1/0794312415:01746,+1.931633751137460e-06,+1.810317303739765e-06,+2.735096335404424e-07
2024-10-22T10:20:27.373Z,1/0794312425:01744,+2.068277241374732e-06,-3.298677207267490e-06,+2.019671644343699e-06
2024-10-22T10:20:37.373Z,1/0794312435:01748,-1.435185233391343e-06,+1.946477458674526e-06,+2.776669118357777e-07
2024-10-22T10:20:47.373Z,1/0794312445:01744,-3.184300236071707e-06,-1.548333605924676e-06,+2.026222756415288e-06
2024-10-22T10:20:57.373Z,1/0794312455:01747,+2.065533416701102e-06,+1.939158027267330e-07,-1.476098327458285e-06
2024-10-22T10:21:07.373Z,1/0794312465:01743,+3.153354158896570e-07,+1.965685894511958e-07,+2.739502159984446e-07
2024-10-22T10:21:17.373Z,1/0794312475:01746,-1.435674509235951e-06,+1.949842126119148e-07,-1.472023722157759e-06
2024-10-22T10:21:27.373Z,1/0794312485:01744,-1.433551653175828e-06,-1.546675794377842e-06,+3.771876106461841e-06
2024-10-22T10:21:37.373Z,1/0794312495:01746,-1.434344632339721e-06,+1.997368503104846e-07,+2.024512711263927e-06
2024-10-22T10:21:47.373Z,1/0794312505:01743,+3.549176910631335e-06,+1.816624182056166e-06,+5.114614353535237e-06
2024-10-22T10:21:57.373Z,1/0794312515:01745,+1.931981607723651e-06,+1.818353405580240e-06,+6.727510759455983e-06
2024-10-22T10:22:07.373Z,1/0794312525:01751,-1.301208534278998e-06,+1.812166083891729e-06,+2.773748600041622e-07
2024-10-22T10:22:17.373Z,1/0794312535:01745,-1.300082644601683e-06,-1.415797769185446e-06,+2.765314987147034e-07
2024-10-22T10:22:27.373Z,1/0794312545:01747,-1.302196022011626e-06,+1.808752350928828e-06,-2.949178430184685e-06
2024-10-22T10:22:37.373Z,1/0794312555:01745,+3.145895104217210e-07,+1.979878011221507e-07,+2.750007693336324e-07
2024-10-22T10:22:47.373Z,1/0794312565:01745,+1.929665629543522e-06,+1.811361817647270e-06,+2.740388257692881e-07
2024-10-22T10:22:57.373Z,1/0794312575:01744,+3.158464795682444e-07,+2.018494778780153e-07,+3.502677056761659e-06
2024-10-22T10:23:07.373Z,1/0794312585:01749,-1.436137679026694e-06,+1.966777788537118e-07,-1.470511020680273e-06
2024-10-22T10:23:17.373Z,1/0794312595:01743,-3.186199665370813e-06,+1.994029502626965e-07,+2.800107707687343e-07
2024-10-22T10:23:27.373Z,1/0794312605:01746,+3.146415359648046e-07,+1.981045256807516e-07,+2.755379573577225e-07
2024-10-22T10:23:37.373Z,1/0794312615:01738,+3.145834253569243e-07,+1.949784742597889e-06,+2.025438607429220e-06
2024-10-22T10:23:47.373Z,1/0794312625:01746,+3.145287773069937e-07,+1.978128074763680e-07,+2.762517047340116e-07
2024-10-22T10:23:57.373Z,1/0794312635:01751,-1.437266323432431e-06,+1.962257377426743e-07,-1.470729139947224e-06
2024-10-22T10:24:07.373Z,1/0794312645:01744,-1.436273215982599e-06,+1.965285774998409e-07,-1.469519886229894e-06
2024-10-22T10:24:17.373Z,1/0794312655:01746,+3.815279553884043e-06,-3.304837061666134e-06,-3.225188597960176e-06
2024-10-22T10:24:27.373Z,1/0794312665:01744,+1.930381792638701e-06,+1.815733950086865e-06,+3.502680346288669e-06
2024-10-22T10:24:37.373Z,1/0794312675:01747,-2.918598379554353e-06,-1.420485098406353e-06,-4.560373155758029e-06
2024-10-22T10:24:47.373Z,1/0794312685:01744,-1.301980476729418e-06,-1.418748344156628e-06,-2.948745709881963e-06
2024-10-22T10:24:57.373Z,1/0794312695:01747,+3.141656504897666e-07,+1.984585974097573e-07,+2.771254381414251e-07
2024-10-22T10:25:07.373Z,1/0794312705:01742,+1.930346189440716e-06,+1.996585618826214e-07,+1.888859442866107e-06
2024-10-22T10:25:17.373Z,1/0794312715:01746,+3.142404919789589e-07,+1.982442868269741e-07,+2.769996801982642e-07
2024-10-22T10:25:27.373Z,1/0794312725:01744,-1.302019502948363e-06,+2.014360168654185e-07,+1.894101388921408e-06
2024-10-22T10:25:37.373Z,1/0794312735:01745,+3.139357428142819e-07,-1.417232353996580e-06,-1.336766646130336e-06
2024-10-22T10:25:47.373Z,1/0794312745:01749,-1.437053467696115e-06,+2.023724118865729e-07,+2.029033691172085e-06
2024-10-22T10:25:57.373Z,1/0794312755:01745,+2.064904254865924e-06,+1.997438192810090e-07,+2.023232320183832e-06
2024-10-22T10:26:07.373Z,1/0794312765:01751,-1.437140302867289e-06,+1.972222155062595e-07,-1.468149775331298e-06
2024-10-22T10:26:17.373Z,1/0794312775:01748,-3.187133687976276e-06,+1.951315391839588e-06,+2.030956832489927e-06
2024-10-22T10:26:27.373Z,1/0794312785:01745,-1.437162639092610e-06,+1.948348853315694e-06,+2.804369365214657e-07
2024-10-22T10:26:37.373Z,1/0794312795:01745,+2.065098066661413e-06,-1.550686200710078e-06,+2.747158080683754e-07
